TID: [2024-07-09 12:35:37,269]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2024-07-09 12:36:07,729]  INFO {org.wso2.carbon.apimgt.impl.dao.CorrelationConfigDAO} - Correlation Components [http, jdbc, ldap, synapse, method-calls]
TID: [] [] [2024-07-09 12:36:07,789]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [] [] [2024-07-09 12:36:07,789]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - An instance of org.wso2.carbon.identity.oauth2.token.OauthTokenIssuerImpl is created for Identity OAuth token generation.
TID: [] [] [2024-07-09 12:36:09,159]  WARN {org.wso2.carbon.identity.event.internal.IdentityEventServiceComponent} - Properties for OrganizationCreationHandler is not configured. This event handler will not be activated
TID: [] [] [2024-07-09 12:36:09,191]  WARN {org.wso2.carbon.identity.application.authentication.framework.internal.FrameworkServiceComponent} - Adaptive authentication is disabled.
TID: [] [] [2024-07-09 12:36:09,273]  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [] [] [2024-07-09 12:36:10,730]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Starting ESB...
TID: [] [] [2024-07-09 12:36:10,750]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Initializing Apache Synapse...
TID: [] [] [2024-07-09 12:36:10,755]  INFO {org.apache.synapse.SynapseControllerFactory} - Using Synapse home : C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\.
TID: [] [] [2024-07-09 12:36:10,755]  INFO {org.apache.synapse.SynapseControllerFactory} - Using synapse.xml location : C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\.\.\repository\deployment\server\synapse-configs\default
TID: [] [] [2024-07-09 12:36:10,755]  INFO {org.apache.synapse.SynapseControllerFactory} - Using server name : localhost
TID: [] [] [2024-07-09 12:36:10,772]  INFO {org.apache.synapse.SynapseControllerFactory} - The timeout handler will run every : 15s
TID: [] [] [2024-07-09 12:36:10,790]  INFO {org.apache.synapse.Axis2SynapseController} - Initializing Synapse at : Tue Jul 09 12:36:10 AST 2024
TID: [] [] [2024-07-09 12:36:10,797]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} - Loading the mediation configuration from the file system
TID: [] [] [2024-07-09 12:36:10,799]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} - Building synapse configuration from the synapse artifact repository at : .\.\repository/deployment/server/synapse-configs\default
TID: [] [] [2024-07-09 12:36:10,800]  INFO {org.apache.synapse.config.xml.XMLConfigurationBuilder} - Generating the Synapse configuration model by parsing the XML configuration
TID: [] [] [2024-07-09 12:36:10,908]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : dispatchSeq was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:10,962]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : fault was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,015]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : main was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,016]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : outDispatchSeq was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,040]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : webhooksFaultSequence was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,070]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _auth_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,111]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _backend_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,117]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _api_blocked_sequence_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,125]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _build_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,170]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _cors_request_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,192]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _graphql_failure_handler was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,229]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _opa_policy_failure_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,230]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _production_key_error_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,231]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _resource_mismatch_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,232]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _sandbox_key_error_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,258]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _threat_fault_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,309]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _throttle_out_handler_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,334]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _token_fault_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,379]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - API : _OpenService_ was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,383]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : SecureWebhookServer was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,385]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : SecureWebSocketEP was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,386]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : WebhookServer was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,387]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Inbound Endpoint : WebSocketInboundEndpoint was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,387]  INFO {org.apache.synapse.config.SynapseConfigurationBuilder} - Loaded Synapse configuration from the artifact repository at : .\.\repository/deployment/server/synapse-configs\default
TID: [] [] [2024-07-09 12:36:11,390]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : SERVER_HOST was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,390]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Local entry : SERVER_IP was added to the Synapse configuration successfully
TID: [] [] [2024-07-09 12:36:11,410]  WARN {org.apache.synapse.commons.util.MiscellaneousUtil} - Error loading properties from file at system defined location: C:\Users\MAHMOU~2.ABD\DOWNLO~1\WSO2AM~1.0(1\WSO2AM~1.0\bin\..\repository\conf\sequence-observers.xml
TID: [] [] [2024-07-09 12:36:11,423]  INFO {org.apache.synapse.Axis2SynapseController} - Loading mediator extensions...
TID: [] [] [2024-07-09 12:36:12,122]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: echo {super-tenant}
